Model,Scenario,Scenario_Category,Category_name
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_Med2C,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2020_WB2C,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Med2C,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_2030_WB2C,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_INDC,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_NoPolicy,failed-vetting,failed-vetting
AIM/CGE 2.0,ADVANCE_Reference,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_BCOC-EndU,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Baseline,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_CH4-Only,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_ClimPolicy+SLCF,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_BCOC-Red,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CH4-ClimPolicy,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_CO2-Only,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-CH4,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-EndU,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_D_Frozen-EF-SLCF,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_SLCF,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-Action+SLCF,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF,failed-vetting,failed-vetting
AIM/CGE 2.0,EMF30_Slower-to-faster+SLCF+HFC,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_2Degree,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_EEEI_Baseline,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_2Degree,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_Baseline,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_Ref_Baseline,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_2Degree,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_Baseline,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_2Degree,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_bio_Baseline,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_2Degree,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_Baseline,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_solar_Baseline,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_wind_2Degree,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_ST_wind_Baseline,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,failed-vetting,failed-vetting
AIM/CGE 2.0,SFCM_SSP2_SupTech_2Degree,failed-vetting,failed-vetting
