No.,Variable(All),Level,Category_template,Model type,Unit,Definition,Type,Basis for Classification
104,Capital Cost|Electricity|Biomass|w/ CCS,4,Capital costs,Energy system,US$2010/kW,"capital cost of a new biomass power plant with CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
105,Capital Cost|Electricity|Biomass|w/o CCS,4,Capital costs,Energy system,US$2010/kW,"capital cost of a new biomass power plant w/o CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
106,Capital Cost|Electricity|Coal|w/ CCS,4,Capital costs,Energy system,US$2010/kW,"capital cost of a new coal power plant with CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
107,Capital Cost|Electricity|Coal|w/o CCS,4,Capital costs,Energy system,US$2010/kW,"capital cost of a new coal power plant w/o CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
108,Capital Cost|Electricity|Gas|w/ CCS,4,Capital costs,Energy system,US$2010/kW,"capital cost of a new gas power plant with CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
109,Capital Cost|Electricity|Gas|w/o CCS,4,Capital costs,Energy system,US$2010/kW,"capital cost of a new gas power plant w/o CCS. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
110,Capital Cost|Electricity|Geothermal,3,Capital costs,Energy system,US$2010/kW,"capital cost of a new geothermal power plant. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
111,Capital Cost|Electricity|Hydro,3,Capital costs,Energy system,US$2010/kW,"capital cost of a new hydropower plant. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
112,Capital Cost|Electricity|Nuclear,3,Capital costs,Energy system,US$2010/kW,"capital cost of a new nuclear power plants. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
113,Capital Cost|Electricity|Solar|CSP,4,Capital costs,Energy system,US$2010/kW,"capital cost of a new concentrated solar power plant. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
114,Capital Cost|Electricity|Solar|PV,4,Capital costs,Energy system,US$2010/kW,"capital cost of a new solar PV units. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
120,Capital Cost|Electricity|Wind|Offshore,4,Capital costs,Energy system,US$2010/kW,"capital cost of a new offshore wind power plants. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
121,Capital Cost|Electricity|Wind|Onshore,4,Capital costs,Energy system,US$2010/kW,"capital cost of a new onshore wind power plants. If more than technology in this category is modelled, modellers should report capital costs for the technology that is used most; please specify the technology name/characteristics in the comments.",input,https://jgcri.github.io/gcam-doc/inputs_supply.html
