Model,Model_Family,Scenario,Scenario_Category,Region,Variable,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2110,2130,2150
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Capital Cost|Electricity|Biomass|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,38336.0804,38524.7042,38709.0954,38851.1105,38911.3434,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Capital Cost|Electricity|Biomass|w/o CCS,,,,5359.368,13564.9457,13564.9457,28122.4482,28122.4482,28122.4482,28122.4482,28122.4482,28122.4482,28122.4482,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Capital Cost|Electricity|Coal|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,22007.1809,22428.7886,22647.4072,22587.7787,22426.661,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Capital Cost|Electricity|Coal|w/o CCS,,,,2828.9001,13984.2075,14105.3828,14325.806799999998,14718.8835,15561.9684,15680.6974,15606.1289,15304.6669,15291.9217,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Capital Cost|Electricity|Gas|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,7969.7979,8137.1801,8304.454600000001,8452.9227,8482.7486,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Capital Cost|Electricity|Gas|w/o CCS,,,,2653.9297,4607.971100000001,4607.971100000001,4607.971100000001,4607.971100000001,4607.971100000001,4607.971100000001,4607.971100000001,4607.971100000001,4607.971100000001,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Capital Cost|Electricity|Geothermal,,,,2108.8471,9160.3765,9160.3765,9160.3765,9160.3765,9160.3765,9160.3765,9160.3765,9160.3765,9160.3765,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Capital Cost|Electricity|Hydro,,,,2479.5225,67993.99160000001,67993.99160000001,67993.99160000001,67993.99160000001,67993.99160000001,67993.99160000001,67993.99160000001,67993.99160000001,67993.99160000001,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Capital Cost|Electricity|Nuclear,,,,4808.5065,32100.4125,31498.7154,31097.342200000003,31583.354100000004,33004.1375,32766.8824,32124.3293,30997.9432,30483.1388,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Capital Cost|Electricity|Solar|PV,,,,3124.1719000000003,19797.6657,14179.2404,8870.621200000001,7700.5567,6609.773300000001,6120.942300000001,5629.704699999999,5136.3677,4654.5356,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Capital Cost|Electricity|Wind|Onshore,,,,1156.9082,8075.384000000001,7439.0638,6861.7868,6672.825500000001,6620.7899,6637.9634,6631.0841,6558.217200000001,6470.073899999999,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Efficiency|Electricity|Biomass|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,180.0,180.0,180.0,180.0,180.0,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Efficiency|Electricity|Biomass|w/o CCS,,,,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Efficiency|Electricity|Coal|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,134.7706,130.77949999999998,127.4099,124.5814,128.0,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Efficiency|Electricity|Coal|w/o CCS,,,,125.9118,128.9039,132.0641,135.4045,138.9374,134.7706,130.77949999999998,127.4099,94.952,96.0,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Efficiency|Electricity|Gas|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,187.7225,182.4255,177.5045,172.9223,172.3813,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Efficiency|Electricity|Gas|w/o CCS,,,,185.7021,187.0306,188.3744,189.7339,191.1093,187.7225,182.4255,177.5045,172.9223,137.5987,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Emissions|CH4,,,,142.3794,156.8393,167.3237,176.66159999999996,117.4459,96.4533,87.8169,80.22319999999999,74.6514,68.81089999999999,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Emissions|CO2,,,,10889.688999999998,13960.4999,16450.0984,17745.375500000002,14544.7427,10702.1411,9299.9974,7738.5225,5666.2667,4543.9947,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Emissions|N2O,,,,3102.6619,3467.4969,3764.117,4029.306900000001,2414.303,2120.8997,2212.1982,2350.155,2564.5782,2736.6726,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,GDP|MER,,,,6102.143153661833,8908.439377654888,12575.794357985586,17489.024489276413,22208.7504432832,26773.393690607907,31520.6843111971,36282.8194083192,41136.47521538099,45933.03519750138,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,GDP|PPP,,,,13807.570760954555,20389.83776203024,28930.772496992005,40413.21239245603,51483.00504443044,62251.32474669026,73607.81772675844,85125.4595966351,96974.78252928358,108819.42245834948,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,OM Cost|Fixed|Electricity|Biomass|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,151.5296,151.5296,151.5296,151.5296,151.5296,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,OM Cost|Fixed|Electricity|Biomass|w/o CCS,,,,240.3774,151.5296,151.5296,151.5296,151.5296,151.5296,151.5296,151.5296,151.5296,151.5296,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,OM Cost|Fixed|Electricity|Coal|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,166.76209999999998,167.8774,167.1811,164.2771,164.0442,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,OM Cost|Fixed|Electricity|Coal|w/o CCS,,,,82.9567,152.3102,153.4731,155.4751,159.05169999999998,166.76209999999998,167.8774,167.1811,164.5051,164.3734,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,OM Cost|Fixed|Electricity|Gas|w/ CCS,,,,0.0,0.0,0.0,0.0,0.0,56.4708,56.4708,56.4708,56.4708,56.4708,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,OM Cost|Fixed|Electricity|Gas|w/o CCS,,,,66.7359,56.4708,56.4708,56.4708,56.4708,56.4708,56.4708,56.4708,56.4708,56.4708,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,OM Cost|Fixed|Electricity|Geothermal,,,,18.9299,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,OM Cost|Fixed|Electricity|Hydro,,,,63.973,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,OM Cost|Fixed|Electricity|Nuclear,,,,105.9904,380.7755,373.6737,368.4083,371.6968,384.278,382.2859000000001,376.15719999999993,365.1595,360.18370000000004,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,OM Cost|Fixed|Electricity|Solar|PV,,,,163.1115,177.7877,127.7553,80.4502,68.6034,57.481,53.99550000000001,50.4942,46.973,43.5341,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,OM Cost|Fixed|Electricity|Wind|Onshore,,,,40.0881,145.0008,133.5396,123.0128,119.308,117.7456,117.6431,117.1914,115.7257,113.9943,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Population,,,,3472.0678000000003,3657.7622,3829.2151,3989.7215,4128.047,4241.4221,4331.399600000001,4397.2363000000005,4439.6039,4456.4647,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Price|Carbon,,,,0.0,0.0,0.0,0.0,17.2937056728628,58.15406182864221,77.2000150001507,96.49366404703302,106.49184038303198,119.911212836866,,,,,,,,,,,,,
AIM/CGE 2.1,AIM,CO_2Deg2020,C4,R5ASIA,Primary Energy|Coal,,,,59314.0,94144.40000000001,112965.8,120585.0,85940.59999999999,60229.19999999999,66112.3,79308.1,102597.09999999999,99925.6,,,,,,,,,,,,,
